English Name,CN Translation (中文翻译),Gender,The first time this translation was adopted,Translated by,Comments / Brief explanation,Affiliated Superpower,Affiliated Organization(s),Tags
Ishmael Palin,以赛马利·佩林,M,3308/8/17,ImperiusKang,校验时由“伊什梅尔·佩琳”改为“以赛马利·佩林”，因为他是男性角色,,,
Dalton Chase,道尔顿·奇斯,M,3308/8/23,,,,,
Kit Fowler,基特·福勒,,,,工程师,,,
Delfina Dominguez,黛尔菲娜·多明格斯,,,,,,,
Flint ‘Firemaker’ Lafosse,弗林特·“纵火者”·拉弗斯,,3308/8/23,ImperiusKang,独立记者,,Independent,Reporter
Maxton Price,马可斯敦·普莱斯,,3308/6/2,JHLSunny,联邦上将,Federation,,
Aden Tanner,艾登·坦纳,,3308/8/26,ImperiusKang,前联邦海军上将,Federation,,
Fiona Logan,菲奥娜·罗根,,3308/8/26,ImperiusKang,高级律师,Federation,,
Cynthia Sideris,辛西娅·赛德瑞斯,,3308/9/2,ImperiusKang,Universal Cartographics的主席,,Universal Cartographics,
Shamus Madigan,沙姆斯·马蒂干,,3308/9/5,ImperiusKang,Olympus Village University教授,,,
Ivano Colombera,伊瓦诺·科伦贝拉,,3308/9/5,ImperiusKang,帝国科学院异种学研究主任,,,
Eva Llewellyn,伊娃·卢维林,,3308/9/5,ImperiusKang,,,,
Jeong-Hui Shin,申正熙,,3308/9/5,JHLSunny,,,,
Bethany Blake,贝瑟尼·布莱克,,3308/9/12,ImperiusKang,联邦主动侦查局副局长,,,
Alfred Ulyanov,阿尔弗雷德·乌里扬诺夫,,3308/9/12,ImperiusKang,,,,
Timothy Culver,蒂莫西·卡尔弗,,3308/9/14,ImperiusKang,,,,
Alexei Keel,阿列克谢·克尔,,3308/9/20,ImperiusKang,自由记者,,,
Lana Berkovich,拉娜·伯科维奇,F,3308/9/20,ImperiusKang,"Secretary of State, 国务卿",,,
Elizabeth Perez,伊丽莎白·佩雷兹,,3308/9/23,ImperiusKang,Orion University教授,,,
Hildegard Dressler,希尔德加德·德雷斯勒,,3308/9/23,ImperiusKang,,,,
Angela Corcoran,安吉拉·卡克瑞恩,,3308/9/28,ImperiusKang,联盟副总理,Alliance,,
Nadia Machado,纳迪亚·马查多,,3308/9/29,ImperiusKang,,,,
Carter Armstrong,卡特·阿姆斯特朗,,3308/10/3,ImperiusKang,,,,
Mia Valencourt,米娅·瓦伦科特,,3308/10/3,ImperiusKang,,,,
Yazhu Xing,邢雅珠,,3308/10/3,ImperiusKang,,,,
Isolde Rochester,伊索德·罗切斯特,,3308/10/3,ImperiusKang,,,,
Allan Mantle,艾伦·曼特尔,,3308/10/4,ImperiusKang,,,,
Seo Jin-ae,徐真爱,,3308/10/7,ImperiusKang,六翼天使计划的幸存者D-2,,,
Sofia Trevino,索菲亚·特雷维诺,,3308/10/14,ImperiusKang,政治记者,,,
Theodore Pachis,西奥多·帕奇斯,,3308/10/15,ImperiusKang,议员,,,
Cassia Carvalho,卡西亚·卡瓦霍,,3308/10/21,ImperiusKang,Imperial Herald的政治记者,,,
Zemina Torval,泽米娜·托瓦尔,,3308/10/21,ImperiusKang,,,,
Falkenrath,法克瑞斯,,3308/10/25,ImperiusKang,,,,
Polly French,波利·弗兰奇,,3308/10/27,ImperiusKang,,,,
Harrison Gladstone,哈里森·格莱斯顿,,3308/10/27,ImperiusKang,特纳研究集团的成员（发言人？）,,,
Rachel Ziegler,雷切尔·齐格勒,,3308/10/28,ImperiusKang,,,,
Juno Rochester,朱诺·罗切斯特,,3308/10/28,ImperiusKang,,,,
Caspian Leopold,凯斯比恩·利奥波德,,3308/10/31,ImperiusKang,,,,
Anders Blaine,安德斯·布莱恩,,3308/10/31,ImperiusKang,帝国议院议长（Chancellor）,Empire,,
Liam Flanagan,利亚姆·弗拉纳根,,3308/11/1,ImperiusKang,,,,
George Varma,乔治·瓦尔马,,3308/11/1,ImperiusKang,,,,
Maristela Silva,马里斯特拉·希尔瓦,,3308/11/1,ImperiusKang,,,,
Tahir West,塔希尔·韦斯特,,3308/11/1,ImperiusKang,,,,
Hayley Sorokin,海莉?索罗金,,3308/11/1,ImperiusKang,,,,
Jaya Chaudhary,贾亚·乔达里,,3308/11/1,ImperiusKang,,,,
Yaro Kenyatta,雅罗·肯雅塔,,3308/11/4,ImperiusKang,,,,
Lori Jameson,罗利·詹姆森,,3308/11/11,ImperiusKang,,,,
Bernadette Wells,伯纳黛特·威尔斯,,3308/11/14,ImperiusKang,,,,
Casey Kilpatrick,凯西·凯尔帕特瑞克,,3308/11/15,ImperiusKang,,,,
Lewis Laychurch,路易斯·雷丘奇,,3308/11/15,ImperiusKang,,,,
Elias Pope,伊莱亚斯·波普,,3308/11/21,ImperiusKang,,,,
Luria,卢里亚,,,ImperiusKang,,,,
Rani Zaman,拉尼·扎曼,,3308/11/24,ImperiusKang,,,,
 Remy Leroux,雷米·勒鲁,,3308/11/28,ImperiusKang,,,,
Klaus-Peter Sonnek,克劳斯-彼得·索尼克,,3308/11/29,ImperiusKang,,,,
Justine Kemp,贾斯汀·坎普,,3308/12/5,ImperiusKang,,,,
Liz Ryder,莉兹·雷德,F,3308/12/6,ImperiusKang,,,,
Zachariah Nemo,扎卡利亚·尼莫,M,3308/12/6,ImperiusKang,Zacariah Nemo,,,
Bris Dekker,布里斯·德克,,3308/12/19,ImperiusKang,,,,
Nassim Qadir,纳西姆·卡迪尔,,3309/1/5,JHLSunny,Azimuth生物研究部门主管,,,
Gudrun Vestergaard,古德伦·韦斯特加德,,3309/1/16,JHLSunny,Imperial Herald的皇室记者,,,
Skylar Anderson,斯凯拉·安德森,,3309/1/31,JHLSunny,帝国海军中将,,,
Archone Delaine （Archon Delaine）,阿肯·德莱恩,,3308/4/26,,库莫帮的军阀（27 Jan 3309）,,,
Emil Varga,埃米尔·瓦尔加,,3309/2/6,ImperiusKang,联盟准将,,,
Maximo Fonseca,马克西莫·冯塞卡,,3309/2/6,ImperiusKang,Gateway Laboratories的博士；联盟派驻宙斯盾的科学联络官,,,
Tom Gillespie,汤姆·吉莱斯皮,,3309/2/10,ImperiusKang,联邦国会议员,,,
Daniel Parry,丹尼尔·帕里,,3309/2/10,ImperiusKang,联邦海军少将,,,
Petra Olmanova,佩特拉·奥尔玛诺娃,,3309/2/13,ImperiusKang,工程师,,,
Chloe Sedesi,克洛伊·塞德西,,3309/2/16,ImperiusKang,工程师,,,
Warren Lamar,沃伦·拉马尔,,3309/2/16,ImperiusKang,联盟远征条约的安全主管,,,
Bryanna Blanco,布里安娜?布兰科,,3309/2/27,ImperiusKang,记者,,,
Jerome Archer,杰罗姆·阿彻,,3309/2/27,ImperiusKang,联邦副总统,,,
Harlow Nassry,哈洛·纳斯里,,3309/4/10,JHLSunny,《联邦时报》的科技记者,,,
Johann Fleischer,约翰·弗莱舍,M,3309/3/31,JHLSunny,Caine-Massey的CEO，于该新闻内被刺杀,,,
Philippa Barlow-Lyons,菲利帕·巴洛-莱昂斯,,3309/3/31,JHLSunny,Caine-Massey的首席运营官（COO）,,,
Viola Trask,维奥拉·特拉斯克,,3309/3/31,JHLSunny,联邦调查局执行特工,,,
? Cooper,库珀,F,3309/4/17,JHLSunny,马克西莫·冯塞卡的同事（宙斯盾科学研究团队）,,,
Maximilian North,马克西米利安·诺斯,,3309/3/2,ImperiusKang,,,,
Arturo Durant,阿图罗·杜兰特,,3309/3/6,ImperiusKang,帝国参议员,,,
Jed Trager,杰德·特雷格,,3309/3/7,ImperiusKang,联盟议员,,,
Tom Gillespie,汤姆·吉莱斯皮,,3309/3/16,ImperiusKang,国会议员,,,
Emil Varga,埃米尔·瓦尔加,,3309/3/16,ImperiusKang,海军准将,,,
Edwin Espinosa,埃德温·埃斯皮诺萨,,3309/3/21,ImperiusKang,联邦大检察官,,,
Thandeka Qwabe,桑德卡·科瓦贝,,3309/3/21,ImperiusKang,联邦国会议员,,,
Titus Torval,提图斯·托瓦尔,,3309/4/4,ImperiusKang,Zemina’s own grandson,,,
Niko Shirakawa,尼克·白川,,3309/4/5,ImperiusKang,国会议员,,,
Karleen Troy,卡里恩·特洛伊,,3309/4/20,ImperiusKang,自由记者,,,
